HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0303.32.00.00","2","Plaice (Pleuronectes platessa)","[""kg""]","Free","","2.2¢/kg","",""
"0303.33.00.00","2","Sole (Solea spp.)","[""kg""]","1.1¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0303.34.00.00","2","Turbots (Psetta maxima)","[""kg""]","1.1¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0303.39.01","2","Other","","1.1¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0303.39.01.10","3","Flounder","[""kg""]","","","","",""
"0303.39.01.20","3","Rock sole (Pleuronectes bilineatus)","[""kg""]","","","","",""
"0303.39.01.30","3","Yellowfin sole (Pleuronectes asper)","[""kg""]","","","","",""
"0303.39.01.95","3","Other","[""kg""]","","","","",""
"","1","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 0303.91 to 0303.99:","","","","","",""
"0303.41.00.00","2","Albacore or longfinned tunas (Thunnus alalunga)","[""kg""]","Free","","Free","",""
"0303.42.00","2","Yellowfin tunas (Thunnus albacares)","","Free","","Free","",""
"0303.42.00.20","3","Whole fish","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0303.42.00.40","4","Head-on","[""kg""]","","","","",""
"0303.42.00.60","4","Other","[""kg""]","","","","",""
"0303.43.00.00","2","Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)","[""kg""]","Free","","Free","",""
"0303.44.00.00","2","Bigeye tunas (Thunnus obesus)","[""kg""]","Free","","Free","",""
"0303.45.01","2","Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)","","Free","","Free","",""
"0303.45.01.10","3","Thunnus thynnus","[""kg""]","","","","",""
"0303.45.01.50","3","Thunnus orientalis","[""kg""]","","","","",""
"0303.46.00.00","2","Southern bluefin tunas (Thunnus maccoyii)","[""kg""]","Free","","Free","",""
"0303.49.02.00","2","Other","[""kg""]","Free","","Free","",""
"","1","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0303.91 to 0303.99:","","","","","",""
"0303.51.00.00","2","Herrings (Clupea harengus, Clupea pallasii)","[""kg""]","Free","","Free","",""
"0303.53.00.00","2","Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)","[""kg""]","1.1¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0303.54.00.00","2","Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)","[""kg""]","Free","","4.4¢/kg","",""
"0303.55.00.00","2","Jack and horse mackerel (Trachurus spp.)","[""kg""]","Free","","2.2¢/kg","",""
"0303.56.00.00","2","Cobia (Rachycentron canadum)","[""kg""]","Free","","2.2¢/kg","",""
"0303.57.00","2","Swordfish (Xiphias gladius)","","Free","","2.2¢/kg","",""
"0303.57.00.10","3","Steaks","[""kg""]","","","","",""
"0303.57.00.90","3","Other","[""kg""]","","","","",""
"0303.59.00.00","2","Other","[""kg""]","Free","","2.2¢/kg","",""
